;;;p;pLabel;pContent;pAlias;pWikilink;"pPicture;"
People;Nobel Peace Prize Winners;1950 - 1959;http://www.wikidata.org/entity/Q211856;Philip Noel-Baker, Baron Noel-Baker;British athlete, politician, Cabinet minister, life peer and Nobel Peace Prize winner.;Philip Noel-Baker;https://en.wikipedia.org/wiki/Philip%20Noel-Baker;"http://commons.wikimedia.org/wiki/Special:FilePath/Philip%20Noel-Baker%201942.jpg;"
People;Nobel Peace Prize Winners;1960 - 1969;http://www.wikidata.org/entity/Q212955;Albert Lutuli;South African politician;Albert John Lutuli, Albert John Mvumbi Lutuli, Albert Luthuli;https://en.wikipedia.org/wiki/Albert%20Lutuli;"http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Lutuli%20nobel.jpg;"
People;Nobel Peace Prize Winners;1960 - 1969;http://www.wikidata.org/entity/Q1267;Dag Hammarskjöld;Swedish diplomat, economist, and author;Dag Hjalmar Agne Carl Hammarskjöld;https://en.wikipedia.org/wiki/Dag%20Hammarskj%C3%B6ld;"http://commons.wikimedia.org/wiki/Special:FilePath/Dag%20Hammarskjold-2.jpg;"
People;Nobel Peace Prize Winners;1960 - 1969;http://www.wikidata.org/entity/Q48983;Linus Pauling;American scientist;Linus Carl Pauling;https://en.wikipedia.org/wiki/Linus%20Pauling;"http://commons.wikimedia.org/wiki/Special:FilePath/Pauling.jpg;"
People;Nobel Peace Prize Winners;1960 - 1969;http://www.wikidata.org/entity/Q8027;Martin Luther King, Jr.;American clergyman, activist, and leader in the American Civil Rights Movement;Martin Luther King, Michael King, MLK, Michael King, Jr.;https://en.wikipedia.org/wiki/Martin%20Luther%20King%20Jr.;"http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Luther%20King%20Jr%20NYWTS.jpg;"
People;Nobel Peace Prize Winners;1960 - 1969;http://www.wikidata.org/entity/Q232873;René Cassin;French jurist;René-Samuel Cassin;https://en.wikipedia.org/wiki/Ren%C3%A9%20Cassin;"http://commons.wikimedia.org/wiki/Special:FilePath/Ren%C3%A9%20Cassin%20nobel.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q154824;Norman Borlaug;American biologist;Norman E. Borlaug, Norman Ernest Borlaug;https://en.wikipedia.org/wiki/Norman%20Borlaug;"http://commons.wikimedia.org/wiki/Special:FilePath/Norman%20Borlaug.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q2514;Willy Brandt;"German social-democratic politician; Chancellor of the Federal Republic of Germany";Herbert Ernst Karl Frahm;https://en.wikipedia.org/wiki/Willy%20Brandt;http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20B%20145%20Bild-F057884-0009%2C%20Willy%20Brandt.jpg
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q66107;Henry Kissinger;United States Secretary of State;Heinz Alfred Kissinger, Henry Alfred Kissinger;https://en.wikipedia.org/wiki/Henry%20Kissinger;"http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Kissinger.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q233969;Le Duc Tho;Vietnamese diplomat;;https://en.wikipedia.org/wiki/L%C3%AA%20%C4%90%E1%BB%A9c%20Th%E1%BB%8D;"http://commons.wikimedia.org/wiki/Special:FilePath/LeDucTho1973.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q244395;Seán MacBride;Irish politician and human rights activist;;https://en.wikipedia.org/wiki/Se%C3%A1n%20MacBride;"http://commons.wikimedia.org/wiki/Special:FilePath/Se%C3%A1n%20MacBride%201984.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q179871;Eisaku Sat?;61st, 62nd and 63rd Prime Minister of Japan;;https://en.wikipedia.org/wiki/Eisaku%20Sat%C5%8D;"http://commons.wikimedia.org/wiki/Special:FilePath/Sat%C5%8D%20Eisaku.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q997;Andrei Sakharov;Soviet physicist and Nobel Prize for Peace laureate;;https://en.wikipedia.org/wiki/Andrei%20Sakharov;"http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%2025981%20Academician%20Sakharov.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q42013;Anwar el Sadat;Egyptian president and Nobel Peace Prize recipient;Anwar Sadat, Mohamed Anwar El Sadat, Sadat;https://en.wikipedia.org/wiki/Anwar%20Sadat;"http://commons.wikimedia.org/wiki/Special:FilePath/Anwar%20Sadat%20cropped.jpg;"
People;Nobel Peace Prize Winners;1970 - 1979;http://www.wikidata.org/entity/Q130873;Menachem Begin;Israeli politician and Prime Minister;Menahem Begin;https://en.wikipedia.org/wiki/Menachem%20Begin;"http://commons.wikimedia.org/wiki/Special:FilePath/Menachem%20Begin%2C%20Andrews%20AFB%2C%201978.JPG;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q206505;Adolfo Pérez Esquivel;Recipient of the Nobel Peace Prize in 1980;;https://en.wikipedia.org/wiki/Adolfo%20P%C3%A9rez%20Esquivel;"http://commons.wikimedia.org/wiki/Special:FilePath/Adolfo-P%C3%A9rez-Esquivel-wsf-2003.jpg;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q203843;Alfonso García Robles;Mexican diplomat and politician;;https://en.wikipedia.org/wiki/Alfonso%20Garc%C3%ADa%20Robles;"http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20Garcia%20Robles%201981.jpg;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q444;Lech Wa??sa;Polish politician, Nobel Peace Prize winner, former President of Poland;Lech Walesa;https://en.wikipedia.org/wiki/Lech%20Wa%C5%82%C4%99sa;"http://commons.wikimedia.org/wiki/Special:FilePath/Lech%20Walesa%20-%202009.jpg;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q43033;Desmond Tutu;South African churchman, politician, archbishop, Nobel Prize winner;;https://en.wikipedia.org/wiki/Desmond%20Tutu;"http://commons.wikimedia.org/wiki/Special:FilePath/Archbishop-Tutu-medium.jpg;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q18391;Elie Wiesel;writer, professor, political activist, Nobel Laureate, and Holocaust survivor;Eliezer Wiesel;https://en.wikipedia.org/wiki/Elie%20Wiesel;"http://commons.wikimedia.org/wiki/Special:FilePath/Elie%20Wiesel%202012%20Shankbone.JPG;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q49344;Óscar Arias Sánchez;President of Costa Rica;;https://en.wikipedia.org/wiki/%C3%93scar%20Arias;"http://commons.wikimedia.org/wiki/Special:FilePath/%C3%93scar%20Arias.jpg;"
People;Nobel Peace Prize Winners;1980 - 1989;http://www.wikidata.org/entity/Q17293;Tenzin Gyatso;spiritual leader of Tibet;14th Dalai Lama, Lhamo Dondrub;https://en.wikipedia.org/wiki/14th%20Dalai%20Lama;"http://commons.wikimedia.org/wiki/Special:FilePath/Dalai%20Lama%201430%20Luca%20Galuzzi%202007crop.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q30487;Mikhail Gorbachev;General Secretary of the Communist Party of the Soviet Union;Gorby, Gorbachev, Mikhail Sergeyevich Gorbachev, ?????? ????????;https://en.wikipedia.org/wiki/Mikhail%20Gorbachev;"http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20850809%20General%20Secretary%20of%20the%20CPSU%20CC%20M.%20Gorbachev%20%28crop%29.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q8023;Nelson Mandela;former President of South Africa, anti-apartheid activist;Mandela, Madiba, Nelson Rolihlahla Mandela;https://en.wikipedia.org/wiki/Nelson%20Mandela;"http://commons.wikimedia.org/wiki/Special:FilePath/Nelson%20Mandela-2008%20%28edit%29.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q151813;F. W. de Klerk;South African politician;;https://en.wikipedia.org/wiki/F.%20W.%20de%20Klerk;"http://commons.wikimedia.org/wiki/Special:FilePath/Frederik%20Willem%20de%20Klerk.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q34211;Yasser Arafat;former Palestinian President, and Nobel Peace Prize recipient;Yasir Arafat, Yaser Arafat;https://en.wikipedia.org/wiki/Yasser%20Arafat;"http://commons.wikimedia.org/wiki/Special:FilePath/ArafatEconomicForum.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q34060;Yitzhak Rabin;Israeli politician, statesman and general;Itzhak Rabin;https://en.wikipedia.org/wiki/Yitzhak%20Rabin;"http://commons.wikimedia.org/wiki/Special:FilePath/Yitzhak%20Rabin%20%281986%29%20cropped.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q57410;Shimon Peres;Israeli politician, 8th prime minister and 9th president of Israel;Peres, Szymon Perski;https://en.wikipedia.org/wiki/Shimon%20Peres;"http://commons.wikimedia.org/wiki/Special:FilePath/Shimon%20Peres%20in%20Brazil-cropped.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q219982;Joseph Rotblat;Polish-born British-naturalised physicist;;https://en.wikipedia.org/wiki/Joseph%20Rotblat;"http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Rotblat%20ID%20badge.png;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q234001;Carlos Filipe Ximenes Belo;Roman Catholic bishop;;https://en.wikipedia.org/wiki/Carlos%20Filipe%20Ximenes%20Belo;"http://commons.wikimedia.org/wiki/Special:FilePath/Dom%20Filipe%20Ximenes%20Belo%202016.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q11665;José Ramos-Horta;former president and prime minister of East Timor;;https://en.wikipedia.org/wiki/Jos%C3%A9%20Ramos-Horta;"http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Ramos-Horta%20Portrait.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q193630;John Hume;SDLP politician from Northern Ireland;;https://en.wikipedia.org/wiki/John%20Hume;"http://commons.wikimedia.org/wiki/Special:FilePath/John%20Hume%202008.jpg;"
People;Nobel Peace Prize Winners;1990 - 1999;http://www.wikidata.org/entity/Q192556;David Trimble;Northern Irish politician;Baron Trimble, William David Trimble;https://en.wikipedia.org/wiki/David%20Trimble;"http://commons.wikimedia.org/wiki/Special:FilePath/David%20Trimble%20at%20Lisburn%20Seed%20Group%20benefit%2C%20Hillsborough%20Castle%2C%20Christmas%202007%20crop.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q45785;Kim Dae-jung;South Korean politician;;https://en.wikipedia.org/wiki/Kim%20Dae-jung;"http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Dae-jung%20%28Cropped%29.png;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q1254;Kofi Annan;7th Secretary-General of the United Nations;Kofi Atta Annan;https://en.wikipedia.org/wiki/Kofi%20Annan;"http://commons.wikimedia.org/wiki/Special:FilePath/Kofi%20Annan%202012%20%28cropped%29.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q23685;Jimmy Carter;American politician, 39th president of the United States (in office from 1977 to 1981);"James Carter, 39th President of the United States, James ""Jimmy"" Carter, James E. Carter, James E. Carter Jr., James Earl ""Jimmy"" Carter, James Earl ""Jimmy"" Carter Jr, James Earl ""Jimmy"" Carter, Jr., James Earl (Jimmy) Carter, James Earl Carter, James Earl Carter Jr., James Earl Carter, Jr., James Earle Carter, Jimmy E. Carter, Jimmy Earl Carter, President Carter, President Jimmy Carter";https://en.wikipedia.org/wiki/Jimmy%20Carter;"http://commons.wikimedia.org/wiki/Special:FilePath/JimmyCarterPortrait2.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q133308;Mohamed ElBaradei;Egyptian law scholar and diplomat, former Director General of the International Atomic Energy Agency, and Nobel Peace Prize recipient;;https://en.wikipedia.org/wiki/Mohamed%20ElBaradei;"http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20ElBaradei.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q43969;Muhammad Yunus;Bangladeshi banker, economist and Nobel Peace Prize recipient;;https://en.wikipedia.org/wiki/Muhammad%20Yunus;"http://commons.wikimedia.org/wiki/Special:FilePath/Muhammad%20Yunus%20-%20World%20Economic%20Forum%20Annual%20Meeting%202012.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q19673;Al Gore;45th Vice President of the United States;"Albert Gore, Albert Arnold ""Al"" Gore, Jr., Albert Arnold Gore, Albert Arnold Gore, Jr., ?? ???, ??????? ???";https://en.wikipedia.org/wiki/Al%20Gore;"http://commons.wikimedia.org/wiki/Special:FilePath/Al%20Gore%20at%20SapphireNow%202010%20cropped.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q29230;Martti Ahtisaari;Finnish politician and former President of Finland;Martti Oiva Kalevi Ahtisaari;https://en.wikipedia.org/wiki/Martti%20Ahtisaari;"http://commons.wikimedia.org/wiki/Special:FilePath/Martti%20Ahtisaari.jpg;"
People;Nobel Peace Prize Winners;2000 - 2009;http://www.wikidata.org/entity/Q76;Barack Obama;44th President of the United States of America;Obama, Barack Hussein Obama, Barack Hussein Obama II, Barack Obama II;https://en.wikipedia.org/wiki/Barack%20Obama;"http://commons.wikimedia.org/wiki/Special:FilePath/President%20Barack%20Obama.jpg;"
People;Nobel Peace Prize Winners;2010 - Present;http://www.wikidata.org/entity/Q41617;Liu Xiaobo;Chinese literary critic, writer, professor, and human rights activist;;https://en.wikipedia.org/wiki/Liu%20Xiaobo;"http://commons.wikimedia.org/wiki/Special:FilePath/Free%20Liu%20Xiaobo%2C%20Los%20Angeles.jpg;"
People;Nobel Peace Prize Winners;2010 - Present;http://www.wikidata.org/entity/Q3442375;Kailash Satyarthi;Indian children's rights activist;Kailash Sharma;https://en.wikipedia.org/wiki/Kailash%20Satyarthi;"http://commons.wikimedia.org/wiki/Special:FilePath/Kailash%20Satyarthi%20March%202015.jpg;"
People;Nobel Peace Prize Winners;2010 - Present;http://www.wikidata.org/entity/Q57311;Juan Manuel Santos;President of Colombia;Juan Manuel Santos Calderón;https://en.wikipedia.org/wiki/Juan%20Manuel%20Santos;"http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Manuel%20Santos%202015.jpg;"
