p,pLabel,pAlias,pContent,pWikilink,pPicture
http://www.wikidata.org/entity/Q23,George Washington,"Father of the United States, President Washington, Washington",first President of the United States,https://en.wikipedia.org/wiki/George%20Washington,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20George%20Washington-transparent.png
http://www.wikidata.org/entity/Q11806,John Adams,,2nd President of the United States,https://en.wikipedia.org/wiki/John%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/JohnAdams%202nd%20US%20President.jpg
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,,3rd President of the United States of America,https://en.wikipedia.org/wiki/Thomas%20Jefferson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Jefferson%20by%20Rembrandt%20Peale%201805%20cropped.jpg
http://www.wikidata.org/entity/Q11813,James Madison,"James Madison, Jr.",4th president of the United States (1809 to 1817),https://en.wikipedia.org/wiki/James%20Madison,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Madison.jpg
http://www.wikidata.org/entity/Q11815,James Monroe,,"American politician, 5th president of the United States (in office from 1817 to 1825)",https://en.wikipedia.org/wiki/James%20Monroe,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Monroe%2002.jpg
http://www.wikidata.org/entity/Q11816,John Quincy Adams,,"American politician, 6th president of the United States (in office from 1825 to 1829)",https://en.wikipedia.org/wiki/John%20Quincy%20Adams,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Quincy%20Adams%20by%20GPA%20Healy%2C%201858.jpg
http://www.wikidata.org/entity/Q11817,Andrew Jackson,Old Hickory,"American general and politician, 7th president of the United States",https://en.wikipedia.org/wiki/Andrew%20Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20jackson%20head.jpg
http://www.wikidata.org/entity/Q11820,Martin Van Buren,Maarten van Buren,"American politician, 8th president of the United States (in office from 1837 to 1841)",https://en.wikipedia.org/wiki/Martin%20Van%20Buren,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Van%20Buren.jpg
http://www.wikidata.org/entity/Q11869,William Henry Harrison,,"American general and politician, 9th president of the United States (in office in 1841)",https://en.wikipedia.org/wiki/William%20Henry%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Henry%20Harrison%20by%20James%20Reid%20Lambdin%2C%201835.jpg
http://www.wikidata.org/entity/Q11881,John Tyler,,"American politician, 10th president of the United States (in office from 1841 to 1845)",https://en.wikipedia.org/wiki/John%20Tyler,http://commons.wikimedia.org/wiki/Special:FilePath/WHOportTyler.jpg
http://www.wikidata.org/entity/Q11891,James K. Polk,"James Knox Polk, James Polk","American politician, 11th president of the United States (in office from 1845 to 1849)",https://en.wikipedia.org/wiki/James%20K.%20Polk,http://commons.wikimedia.org/wiki/Special:FilePath/JamesKnoxPolk.png
http://www.wikidata.org/entity/Q11896,Zachary Taylor,,"American general and politician, 12th president of the United States (in office from 1849 to 1850)",https://en.wikipedia.org/wiki/Zachary%20Taylor,http://commons.wikimedia.org/wiki/Special:FilePath/Zachary%20Taylor%20by%20Joseph%20Henry%20Bush%2C%20c1848.jpg
http://www.wikidata.org/entity/Q12306,Millard Fillmore,,"American politician, 13th president of the United States (in office from 1850 to 1853)",https://en.wikipedia.org/wiki/Millard%20Fillmore,http://commons.wikimedia.org/wiki/Special:FilePath/Millard%20Fillmore.jpg
http://www.wikidata.org/entity/Q12312,Franklin Pierce,,"American politician, 14th president of the United States (in office from 1853 to 1857)",https://en.wikipedia.org/wiki/Franklin%20Pierce,http://commons.wikimedia.org/wiki/Special:FilePath/Franklin%20Pierce.jpg
http://www.wikidata.org/entity/Q12325,James Buchanan,"James Buchanan, Jr.","American politician, 15th president of the United States (in office from 1857 to 1861)",https://en.wikipedia.org/wiki/James%20Buchanan,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Buchanan%2C%20by%20George%20Peter%20Alexander%20Healy.jpg
http://www.wikidata.org/entity/Q91,Abraham Lincoln,"Lincoln, Honest Abe, Abe Lincoln",16th President of the United States,https://en.wikipedia.org/wiki/Abraham%20Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Lincoln%20November%201863.jpg
http://www.wikidata.org/entity/Q8612,Andrew Johnson,,"American politician, 17th president of the United States (in office from 1865 to 1869)",https://en.wikipedia.org/wiki/Andrew%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Andrew%20Johnson.jpg
http://www.wikidata.org/entity/Q34836,Ulysses S. Grant,"Ulysses Simpson Grant, Hiram Ulysses Grant, Ulysses Grant",18th President of the United States,https://en.wikipedia.org/wiki/Ulysses%20S.%20Grant,http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg
http://www.wikidata.org/entity/Q35686,Rutherford B. Hayes,"Rutherford Birchard Hayes, Rutherford Hayes","American politician, 19th president of the United States (in office from 1877 to 1881)",https://en.wikipedia.org/wiki/Rutherford%20B.%20Hayes,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Rutherford%20Hayes%201870%20-%201880%20Restored.jpg
http://www.wikidata.org/entity/Q34597,James A. Garfield,James Abram Garfield,"American politician, 20th president of the United States (in office in 1881)",https://en.wikipedia.org/wiki/James%20A.%20Garfield,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Abram%20Garfield%2C%20photo%20portrait%20seated.jpg
http://www.wikidata.org/entity/Q35498,Chester A. Arthur,"Chester Alan Arthur, Chester Arthur","American politician, 21st president of the United States (in office from 1881 to 1885)",https://en.wikipedia.org/wiki/Chester%20A.%20Arthur,http://commons.wikimedia.org/wiki/Special:FilePath/Chester%20Arthur%201880.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35678,Benjamin Harrison,,"American politician, 23rd president of the United States (in office from 1889 to 1893)",https://en.wikipedia.org/wiki/Benjamin%20Harrison,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Harrison%20%28official%20Presidential%20portrait%2C%201895%29.jpg
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35171,Grover Cleveland,"Grover Cleveland Jr., S. Grover Cleveland, Stephen Grover Cleveland, Stephen Grover Cleveland Jr.",22nd and 24th president of the United States,https://en.wikipedia.org/wiki/Grover%20Cleveland,http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png
http://www.wikidata.org/entity/Q35041,William McKinley,,"American politician, 25th president of the United States (in office from 1897 to 1901)",https://en.wikipedia.org/wiki/William%20McKinley,http://commons.wikimedia.org/wiki/Special:FilePath/Mckinley.jpg
http://www.wikidata.org/entity/Q33866,Theodore Roosevelt,"Teddy, Teddy Roosevelt, Theodore ""Teddy"" Roosevelt","American politician, 26th president of the United States",https://en.wikipedia.org/wiki/Theodore%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Theodore%20Roosevelt%201901-08.jpg
http://www.wikidata.org/entity/Q35648,William Howard Taft,"William Taft, William H. Taft","American politician, 27th president of the United States (in office from 1909 to 1913)",https://en.wikipedia.org/wiki/William%20Howard%20Taft,http://commons.wikimedia.org/wiki/Special:FilePath/WmHTaft.jpg
http://www.wikidata.org/entity/Q34296,Woodrow Wilson,"T. Woodrow Wilson, Thomas W. Wilson, Thomas Woodrow Wilson","American politician, 28th president of the United States (in office from 1913 to 1921)",https://en.wikipedia.org/wiki/Woodrow%20Wilson,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Woodrow%20Wilson%2C%20Harris%20%26%20Ewing%20bw%20photo%20portrait%2C%201919.jpg
http://www.wikidata.org/entity/Q35286,Warren G. Harding,"Warren Gamaliel Harding, Warren Harding","American politician, 29th president of the United States (in office from 1921 to 1923)",https://en.wikipedia.org/wiki/Warren%20G.%20Harding,http://commons.wikimedia.org/wiki/Special:FilePath/Warren%20G%20Harding%20portrait%20as%20senator%20June%201920.jpg
http://www.wikidata.org/entity/Q36023,Calvin Coolidge,"John Calvin Coolidge Jr., John Calvin Coolidge, Jr., John Calvin Coolidgeï¼ŒJr.","American politician, 30th president of the United States (in office from 1923 to 1929)",https://en.wikipedia.org/wiki/Calvin%20Coolidge,http://commons.wikimedia.org/wiki/Special:FilePath/Calvin%20Coolidge%20photo%20portrait%20head%20and%20shoulders.jpg
http://www.wikidata.org/entity/Q35236,Herbert Hoover,Herbert Clark Hoover,"American politician, 31st president of the United States (in office from 1929 to 1933)",https://en.wikipedia.org/wiki/Herbert%20Hoover,http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20Hoover%20-%20NARA%20-%20532049.jpg
http://www.wikidata.org/entity/Q8007,Franklin Delano Roosevelt,"Franklin D. Roosevelt, FDR, Franklin Roosevelt",32nd US president,https://en.wikipedia.org/wiki/Franklin%20D.%20Roosevelt,http://commons.wikimedia.org/wiki/Special:FilePath/Froosevelt.jpeg
http://www.wikidata.org/entity/Q11613,Harry S. Truman,"Harry Truman, Truman","American politician, 33rd president of the United States (in office from 1945 to 1953)",https://en.wikipedia.org/wiki/Harry%20S.%20Truman,http://commons.wikimedia.org/wiki/Special:FilePath/HarryTruman.jpg
http://www.wikidata.org/entity/Q9916,Dwight D. Eisenhower,"Ike, David Dwight Eisenhower, Dwight David Eisenhower, Dwight Eisenhower","American general and politician, 34th president of the United States (in office from 1953 to 1961)",https://en.wikipedia.org/wiki/Dwight%20D.%20Eisenhower,http://commons.wikimedia.org/wiki/Special:FilePath/Dwight%20D.%20Eisenhower%2C%20official%20Presidential%20portrait.jpg
http://www.wikidata.org/entity/Q9696,John F. Kennedy,"John Kennedy, Jack Kennedy, John Fitzgerald Kennedy, JF Kennedy, JFK, John F. Kennedy",35th president of the United States of America,https://en.wikipedia.org/wiki/John%20F.%20Kennedy,http://commons.wikimedia.org/wiki/Special:FilePath/John%20F%20Kennedy.jpg
http://www.wikidata.org/entity/Q9640,Lyndon B. Johnson,"LBJ, Lyndon Baines Johnson, Lyndon Johnson","American politician, 36th president of the United States (in office from 1963 to 1969)",https://en.wikipedia.org/wiki/Lyndon%20B.%20Johnson,http://commons.wikimedia.org/wiki/Special:FilePath/Lbj2.jpg
http://www.wikidata.org/entity/Q9588,Richard Nixon,"Nixon, Richard Milhous Nixon","American politician, 37th president of the United States (in office from 1969 to 1974)",https://en.wikipedia.org/wiki/Richard%20Nixon,http://commons.wikimedia.org/wiki/Special:FilePath/RNIXON.gif
http://www.wikidata.org/entity/Q9582,Gerald Ford,"Gerald Ford, Jr., Gerald Rudolph ""Jerry"" Ford, Jr., Gerald Rudolph Ford Jr., Gerald Rudolph Ford, Jr., Leslie Lynch King Jr., Leslie Lynch King, Jr.","American politician, 38th president of the United States (in office from 1974 to 1977)",https://en.wikipedia.org/wiki/Gerald%20Ford,http://commons.wikimedia.org/wiki/Special:FilePath/Gerald%20Ford.jpg
http://www.wikidata.org/entity/Q23685,Jimmy Carter,"James Carter, 39th President of the United States, James ""Jimmy"" Carter, James E. Carter, James E. Carter Jr., James Earl ""Jimmy"" Carter, James Earl ""Jimmy"" Carter Jr, James Earl ""Jimmy"" Carter, Jr., James Earl (Jimmy) Carter, James Earl Carter, James Earl Carter Jr., James Earl Carter, Jr., James Earle Carter, Jimmy E. Carter, Jimmy Earl Carter, President Carter, President Jimmy Carter","American politician, 39th president of the United States (in office from 1977 to 1981)",https://en.wikipedia.org/wiki/Jimmy%20Carter,http://commons.wikimedia.org/wiki/Special:FilePath/JimmyCarterPortrait2.jpg
http://www.wikidata.org/entity/Q9960,Ronald Reagan,Ronald Wilson Reagan,"American politician, 40th president of the United States (in office from 1981 to 1989)",https://en.wikipedia.org/wiki/Ronald%20Reagan,http://commons.wikimedia.org/wiki/Special:FilePath/Official%20Portrait%20of%20President%20Reagan%201981.jpg
http://www.wikidata.org/entity/Q23505,George H. W. Bush,"George Bush, President Bush, Bush 41, Bush I, Bush Senior, Bush Snr., Bush Sr., Daddy Bush, G H W Bush, G. H. Bush, G. H. W. Bush, G.H.W. Bush, George Bush Senior, George Bush Snr., George Bush Sr, George Bush Sr., George H Bush, George H W, George H W Bush, George H. Bush, George H. W, George H. W., George H.W Bush, George H.W., George H.W. Bush, George H.W.Bush, George Herbert Bush, George Herbert Walker Bush, George the Older, George W. Bush Senior, GHW Bush, GHWB, H W Bush, H. W. Bush, H.W. Bush, Herbert Walker Bush, Papa Bush, Poppy Bush, President George H. W. Bush, President George H.W. Bush, Senior Bush, Vice President Bush","American politician, 41st president of the United States",https://en.wikipedia.org/wiki/George%20H.%20W.%20Bush,http://commons.wikimedia.org/wiki/Special:FilePath/43%20George%20H.W.%20Bush%203x4.jpg
http://www.wikidata.org/entity/Q1124,Bill Clinton,"Clinton, William J. Clinton, William Jefferson ""Bill"" Clinton, William Jefferson Blythe, William Jefferson Blythe III, William Jefferson Clinton",42nd President of the United States,https://en.wikipedia.org/wiki/Bill%20Clinton,http://commons.wikimedia.org/wiki/Special:FilePath/Bill%20Clinton%20portrait%20%282015%29.jpg
http://www.wikidata.org/entity/Q207,George W. Bush,"George Bush, President Bush, Bush 43, Bush Jr., Bush, George W., Dubya, George Walker Bush, GWB",43rd President of the United States,https://en.wikipedia.org/wiki/George%20W.%20Bush,http://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg
http://www.wikidata.org/entity/Q76,Barack Obama,"Obama, Barack Hussein Obama, Barack Hussein Obama II, Barack Obama II",44th President of the United States of America,https://en.wikipedia.org/wiki/Barack%20Obama,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Barack%20Obama.jpg
http://www.wikidata.org/entity/Q22686,Donald Trump,"Donald J. Trump, Donald John Trump, The Donald, Trump",45th President of the United States of America,https://en.wikipedia.org/wiki/Donald%20Trump,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Trump%20official%20portrait.jpg
