;;;http://www.wikidata.org/entity/Q3166;;;;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Jonny Reid;http://www.wikidata.org/entity/Q1703469;New Zealand racing driver;;https://en.wikipedia.org/wiki/Jonny%20Reid;http://commons.wikimedia.org/wiki/Special:FilePath/Jonny%20Reid.JPG;;;;;;;
"People;";"Racing Drivers of New Zealand;";Wade Cunningham;http://www.wikidata.org/entity/Q1790883;New Zealand racing driver;;https://en.wikipedia.org/wiki/Wade%20Cunningham;http://commons.wikimedia.org/wiki/Special:FilePath/WadeCunningham2005.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Chris Amon;http://www.wikidata.org/entity/Q171469;New Zealander racecar driver;;https://en.wikipedia.org/wiki/Chris%20Amon;http://commons.wikimedia.org/wiki/Special:FilePath/AmonChris19730706.jpg;;;;;;;Christopher Amon, Christopher Arthur Amon
"People;";"Racing Drivers of New Zealand;";Howden Ganley;http://www.wikidata.org/entity/Q171733;racecar driver;;https://en.wikipedia.org/wiki/Howden%20Ganley;http://commons.wikimedia.org/wiki/Special:FilePath/HowdenGanleyNZFMR2015.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Mike Thackwell;http://www.wikidata.org/entity/Q171752;New Zealander racecar driver;;https://en.wikipedia.org/wiki/Mike%20Thackwell;;;;;;;;
"People;";"Racing Drivers of New Zealand;";John Nicholson;http://www.wikidata.org/entity/Q171986;New Zealand racing driver;;https://en.wikipedia.org/wiki/John%20Nicholson%20%28racing%20driver%29;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Chris van der Drift;http://www.wikidata.org/entity/Q1077911;New Zealand racing driver;;https://en.wikipedia.org/wiki/Chris%20van%20der%20Drift;http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20van%20der%20Drift%20with%20his%20podium%20trophies%20at%20SF%202010.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Earl Bamber;http://www.wikidata.org/entity/Q1277000;racing driver, 2015 Le Mans winner, 2014 Porsche Supercup champion;;https://en.wikipedia.org/wiki/Earl%20Bamber;;;;;;;;Earl Anderson Bamber
"People;";"Racing Drivers of New Zealand;";Shane Van Gisbergen;http://www.wikidata.org/entity/Q6221992;New Zealander racecar driver;;https://en.wikipedia.org/wiki/Shane%20van%20Gisbergen;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Scott McLaughlin;http://www.wikidata.org/entity/Q7436838;New Zealand racing driver;;https://en.wikipedia.org/wiki/Scott%20McLaughlin%20%28racing%20driver%29;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Simon Wills;http://www.wikidata.org/entity/Q7520063;New Zealand racing driver;;https://en.wikipedia.org/wiki/Simon%20Wills;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Steve Owen;http://www.wikidata.org/entity/Q7613527;Australian racing driver;;https://en.wikipedia.org/wiki/Steve%20Owen%20%28racing%20driver%29;http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Owen.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Syd Jensen;http://www.wikidata.org/entity/Q7659703;New Zealand motorcycle racer;;https://en.wikipedia.org/wiki/Syd%20Jensen;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Thomas Pitt Cholmondeley-Tapper;http://www.wikidata.org/entity/Q7793181;New Zealand racing driver;;https://en.wikipedia.org/wiki/Thomas%20Pitt%20Cholmondeley-Tapper;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Victor Chapman;http://www.wikidata.org/entity/Q7925796;New Zealand racing driver;;https://en.wikipedia.org/wiki/Victor%20Chapman%20%28racing%20driver%29;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Bob Wallace;http://www.wikidata.org/entity/Q15993625;New Zealand test driver;;https://en.wikipedia.org/wiki/Bob%20Wallace%20%28test%20driver%29;http://commons.wikimedia.org/wiki/Special:FilePath/Bob%20Wallace%20working%20on%20Maserati%20Birdcage%2C%201960s.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Graham McRae;http://www.wikidata.org/entity/Q172535;New Zealand racing driver;;https://en.wikipedia.org/wiki/Graham%20McRae;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Bruce McLaren;http://www.wikidata.org/entity/Q173081;New Zealander racecar driver, designer and team owner;;https://en.wikipedia.org/wiki/Bruce%20McLaren;http://commons.wikimedia.org/wiki/Special:FilePath/McLarenBruce.jpg;;;;;;;Bruce Leslie McLaren
"People;";"Racing Drivers of New Zealand;";Brendon Hartley;http://www.wikidata.org/entity/Q361113;racing driver, 2015 World Endurance Drivers' Champion;;https://en.wikipedia.org/wiki/Brendon%20Hartley;http://commons.wikimedia.org/wiki/Special:FilePath/Brendon%20Hartley%20Driver%20of%20Porsche%20Team%27s%20Porsche%20919%20Hybrid.jpg;;;;;;;Hartley, Brendon
"People;";"Racing Drivers of New Zealand;";Alex Davison;http://www.wikidata.org/entity/Q389092;Australian racecar driver;;https://en.wikipedia.org/wiki/Alex%20Davison;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Scott Dixon;http://www.wikidata.org/entity/Q465201;New Zealander racecar driver;;https://en.wikipedia.org/wiki/Scott%20Dixon;http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Dixon%20at%20the%202013%20Grand%20Prix%20of%20Baltimore.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Mitch Evans;http://www.wikidata.org/entity/Q735803;New Zealand racing driver;;https://en.wikipedia.org/wiki/Mitch%20Evans;http://commons.wikimedia.org/wiki/Special:FilePath/Dallara%20F307%20of%20Mitch%20Evans.jpg;;;;;;;
"People;";"Racing Drivers of New Zealand;";Craig Baird;http://www.wikidata.org/entity/Q3001990;New Zealand racing driver;;https://en.wikipedia.org/wiki/Craig%20Baird;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Andrew Bagnall;http://www.wikidata.org/entity/Q4756254;New Zealand racing driver;;https://en.wikipedia.org/wiki/Andrew%20Bagnall;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Bob Kennett;http://www.wikidata.org/entity/Q4933009;New Zealand racing driver;;https://en.wikipedia.org/wiki/Bob%20Kennett;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Carl Ruiterman;http://www.wikidata.org/entity/Q5040737;New Zealand racing driver;;https://en.wikipedia.org/wiki/Carl%20Ruiterman;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Dave McMillan;http://www.wikidata.org/entity/Q5229361;New Zealand racing driver;;https://en.wikipedia.org/wiki/Dave%20McMillan;;;;;;;;
"People;";"Racing Drivers of New Zealand;";Graeme Lawrence;http://www.wikidata.org/entity/Q5592317;New Zealand racing driver;;https://en.wikipedia.org/wiki/Graeme%20Lawrence;;;;;;;;
